Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Male,No,0,Graduate,Yes,3993,4530,205,360,0.0,Urban,N
Female,No,1,Not Graduate,No,8313,4732,221,360,0.0,Urban,Y
Male,No,3+,Not Graduate,No,2132,3750,384,240,1.0,Urban,N
Male,Yes,1,Not Graduate,Yes,4583,3157,90,120,0.0,Semiurban,Y
Female,Yes,2,Not Graduate,No,5219,4683,112,120,0.0,Rural,Y
Female,No,1,Graduate,Yes,8623,343,72,240,0.0,Urban,N
Male,Yes,0,Graduate,Yes,3179,4666,409,360,0.0,Rural,N
Male,No,1,Not Graduate,No,1736,610,124,180,1.0,Rural,N
Female,Yes,2,Graduate,No,8946,1727,97,360,0.0,Semiurban,N
Female,No,2,Graduate,No,5943,2290,209,360,1.0,Urban,N
Female,No,3+,Graduate,No,8270,1854,362,180,1.0,Semiurban,Y
Female,Yes,1,Not Graduate,No,7599,2608,167,240,1.0,Urban,Y
Male,No,2,Not Graduate,No,3868,2079,149,120,1.0,Semiurban,Y
Female,Yes,0,Not Graduate,No,1785,2324,429,240,0.0,Rural,N
Female,No,3+,Graduate,Yes,1648,4627,466,240,0.0,Urban,N
Male,No,0,Not Graduate,No,5537,1177,457,360,1.0,Rural,N
Female,Yes,1,Not Graduate,Yes,8049,1091,216,120,1.0,Rural,N
Male,Yes,1,Graduate,No,8621,4979,339,120,1.0,Semiurban,N
Female,Yes,1,Not Graduate,No,6395,2791,489,240,1.0,Urban,N
Female,No,3+,Not Graduate,Yes,6780,1749,205,180,0.0,Rural,Y
Female,Yes,2,Graduate,No,2512,2675,470,240,1.0,Semiurban,Y
Male,No,3+,Graduate,No,4285,781,56,180,0.0,Urban,Y
Male,No,0,Graduate,Yes,5225,3048,245,120,1.0,Urban,Y
Female,Yes,3+,Not Graduate,No,6076,2105,470,240,1.0,Rural,Y
Male,Yes,0,Not Graduate,No,7282,3867,105,360,1.0,Urban,N
Male,No,3+,Not Graduate,No,7757,4976,370,240,1.0,Rural,N
Male,No,2,Graduate,Yes,3908,4542,242,120,0.0,Urban,N
Male,Yes,0,Graduate,No,1840,2113,96,360,0.0,Semiurban,N
Male,Yes,1,Not Graduate,No,4317,3970,197,360,0.0,Rural,N
Male,Yes,1,Not Graduate,No,3996,1991,324,180,1.0,Rural,N
Female,Yes,3+,Graduate,No,7462,1067,206,360,1.0,Urban,Y
Female,Yes,1,Graduate,Yes,6799,1577,251,360,0.0,Urban,N
Male,No,0,Graduate,Yes,9074,1011,493,240,0.0,Rural,N
Female,No,1,Graduate,No,3189,2274,451,120,1.0,Urban,N
Female,No,2,Not Graduate,No,4767,4869,468,180,1.0,Semiurban,N
Female,No,2,Graduate,Yes,5906,1814,476,240,0.0,Urban,Y
Female,Yes,3+,Not Graduate,Yes,9953,2426,175,360,1.0,Semiurban,Y
Male,Yes,0,Not Graduate,No,2942,4402,444,360,1.0,Semiurban,N
Female,Yes,2,Not Graduate,Yes,5937,4874,354,180,0.0,Semiurban,Y
Female,No,2,Graduate,No,6935,2551,418,120,1.0,Semiurban,Y
Male,No,0,Graduate,Yes,9935,3657,343,180,0.0,Semiurban,N
Male,Yes,1,Graduate,Yes,5607,7,113,240,1.0,Urban,N
Female,Yes,1,Graduate,Yes,2060,2555,374,180,0.0,Semiurban,N
Female,No,3+,Not Graduate,Yes,7048,475,441,360,1.0,Urban,N
Female,No,1,Graduate,No,3326,2211,467,240,0.0,Semiurban,N
Female,Yes,0,Graduate,Yes,9129,484,225,360,0.0,Rural,Y
Female,Yes,2,Not Graduate,Yes,9825,4654,165,120,0.0,Semiurban,N
Female,No,1,Graduate,No,4638,2285,489,360,0.0,Rural,N
Male,Yes,3+,Not Graduate,Yes,9193,4563,253,360,1.0,Semiurban,N
Female,Yes,1,Not Graduate,Yes,9764,3525,370,180,1.0,Semiurban,Y
Female,Yes,0,Not Graduate,No,9342,3339,80,360,0.0,Semiurban,N
Male,No,3+,Not Graduate,Yes,8221,2822,437,240,1.0,Rural,N
Male,No,1,Not Graduate,No,8502,4943,162,240,1.0,Rural,N
Male,No,3+,Not Graduate,No,5725,2924,414,120,1.0,Semiurban,Y
Male,No,0,Not Graduate,No,4478,258,483,240,1.0,Urban,N
Female,No,2,Not Graduate,No,8873,282,374,180,1.0,Semiurban,N
Female,No,0,Graduate,Yes,7407,1898,463,120,0.0,Rural,N
Female,No,0,Graduate,No,7597,4135,425,240,0.0,Semiurban,Y
Female,Yes,0,Graduate,Yes,7156,2976,393,180,0.0,Rural,N
Female,Yes,0,Graduate,Yes,5759,2267,492,240,0.0,Rural,N
Female,Yes,2,Not Graduate,Yes,9786,3200,116,240,1.0,Rural,N
Male,Yes,2,Graduate,Yes,7401,612,124,360,1.0,Semiurban,Y
Female,Yes,3+,Not Graduate,Yes,6417,687,94,240,0.0,Rural,N
Male,Yes,1,Graduate,Yes,9929,3690,309,240,1.0,Rural,N
Male,Yes,2,Graduate,Yes,4030,612,203,180,1.0,Semiurban,N
Female,No,2,Graduate,Yes,3460,2307,204,180,0.0,Rural,Y
Male,No,1,Not Graduate,Yes,8545,3013,479,360,1.0,Semiurban,Y
Female,Yes,2,Graduate,Yes,2548,1781,412,240,0.0,Rural,N
Male,Yes,0,Not Graduate,No,7272,2591,497,360,0.0,Urban,Y
Female,No,0,Not Graduate,No,4029,2696,283,240,1.0,Urban,Y
Male,Yes,1,Graduate,No,4464,3958,100,120,1.0,Rural,Y
Female,Yes,3+,Graduate,Yes,8637,574,355,120,0.0,Urban,N
Female,No,3+,Graduate,No,2463,1910,311,360,0.0,Semiurban,N
Female,Yes,1,Not Graduate,No,2036,3604,364,360,1.0,Urban,Y
Female,No,1,Graduate,No,8840,669,174,360,0.0,Rural,Y
Female,Yes,0,Not Graduate,Yes,8679,4364,448,180,0.0,Rural,Y
Male,No,3+,Not Graduate,Yes,9467,1283,294,180,0.0,Semiurban,N
Male,No,2,Graduate,Yes,2345,923,79,180,1.0,Rural,N
Male,No,0,Graduate,Yes,7277,1125,475,360,0.0,Semiurban,Y
Female,Yes,1,Not Graduate,No,4536,1529,171,240,1.0,Urban,Y
Male,No,3+,Not Graduate,No,7447,1594,174,120,0.0,Urban,Y
Female,Yes,2,Not Graduate,No,3994,246,86,360,1.0,Semiurban,Y
Female,Yes,2,Graduate,No,4219,3711,219,180,0.0,Semiurban,N
Male,Yes,0,Not Graduate,Yes,3384,1560,173,180,1.0,Rural,Y
Male,Yes,3+,Graduate,Yes,5849,2400,406,360,1.0,Urban,N
Female,No,3+,Not Graduate,Yes,6679,2243,84,360,1.0,Semiurban,Y
Male,No,1,Not Graduate,No,8110,3864,136,180,0.0,Urban,Y
Female,Yes,3+,Graduate,Yes,7930,1939,183,240,0.0,Semiurban,Y
Female,Yes,3+,Not Graduate,Yes,8654,3069,245,180,0.0,Urban,Y
Female,No,0,Graduate,No,7988,226,323,180,1.0,Rural,Y
Female,Yes,3+,Graduate,No,6237,3547,250,360,0.0,Urban,N
Female,No,2,Not Graduate,Yes,8025,264,418,240,1.0,Urban,Y
Male,Yes,0,Graduate,Yes,5350,1395,334,180,0.0,Urban,Y
Male,Yes,0,Graduate,Yes,2189,3557,126,180,1.0,Urban,Y
Female,No,1,Not Graduate,Yes,6675,645,108,120,1.0,Urban,N
Female,Yes,3+,Graduate,Yes,6578,2990,480,360,1.0,Rural,N
Male,No,1,Graduate,Yes,6948,1899,175,120,0.0,Semiurban,N
Male,Yes,2,Graduate,No,2679,2504,450,120,0.0,Urban,N
Female,Yes,0,Not Graduate,No,7906,2772,158,180,0.0,Rural,Y
Male,Yes,0,Graduate,No,8407,1154,273,360,1.0,Urban,Y
Female,No,0,Not Graduate,Yes,3138,587,327,240,1.0,Urban,Y
Male,Yes,2,Not Graduate,No,7171,4571,117,180,0.0,Semiurban,N
Female,Yes,2,Graduate,Yes,8428,1821,118,240,0.0,Urban,Y
Male,Yes,1,Graduate,Yes,2882,985,214,240,0.0,Rural,Y
Female,Yes,1,Graduate,No,2903,4079,354,360,1.0,Rural,N
Male,No,1,Not Graduate,Yes,4792,3348,446,120,1.0,Semiurban,N
Male,No,3+,Graduate,Yes,1919,3831,211,360,1.0,Urban,N
Female,Yes,0,Graduate,No,6017,1241,414,240,1.0,Rural,Y
Male,No,0,Graduate,No,4802,189,391,180,1.0,Urban,Y
Female,Yes,1,Graduate,No,9357,980,358,240,0.0,Urban,N
Male,Yes,0,Graduate,Yes,9370,1698,428,180,1.0,Urban,Y
Female,Yes,1,Not Graduate,No,7193,1715,392,180,1.0,Semiurban,N
Male,No,3+,Not Graduate,No,2267,2593,484,360,1.0,Urban,N
Female,No,3+,Graduate,Yes,3544,4136,436,240,1.0,Rural,Y
Male,No,2,Graduate,No,3049,4433,91,120,1.0,Urban,N
Female,No,3+,Graduate,No,7640,1098,403,240,0.0,Rural,N
Male,No,1,Graduate,No,5216,2326,465,240,1.0,Urban,N
Female,No,3+,Not Graduate,Yes,5981,3247,158,120,1.0,Rural,Y
Female,No,2,Graduate,Yes,9398,895,100,360,1.0,Rural,N
Female,No,0,Not Graduate,Yes,8048,1674,299,240,0.0,Urban,N
Male,No,1,Not Graduate,Yes,3793,2909,390,240,0.0,Urban,N
Female,Yes,0,Graduate,No,6337,930,479,180,0.0,Rural,N
Male,No,2,Not Graduate,Yes,9258,4384,432,240,1.0,Semiurban,N
Female,No,2,Not Graduate,Yes,8293,723,70,120,0.0,Urban,N
Male,No,2,Not Graduate,No,9138,2940,349,180,1.0,Semiurban,N
Female,No,0,Not Graduate,No,9493,1089,188,360,1.0,Urban,Y
Male,No,0,Graduate,No,7507,4578,408,180,0.0,Urban,Y
Male,No,0,Graduate,Yes,7042,935,373,120,1.0,Urban,N
Female,No,0,Not Graduate,Yes,7856,2295,434,120,1.0,Urban,Y
Male,No,2,Graduate,Yes,9933,155,141,180,1.0,Semiurban,Y
Male,No,2,Graduate,No,8880,1070,496,360,0.0,Urban,N
Female,No,1,Graduate,No,3885,1958,329,180,1.0,Rural,Y
Male,No,1,Graduate,Yes,5768,2501,174,360,1.0,Rural,N
Male,Yes,0,Graduate,No,2171,4219,446,180,0.0,Semiurban,N
Male,Yes,3+,Not Graduate,No,1663,3830,160,120,1.0,Urban,N
Female,No,3+,Graduate,No,6092,854,403,240,1.0,Rural,N
Male,No,2,Graduate,Yes,6295,639,188,240,0.0,Semiurban,N
Female,Yes,2,Graduate,No,6298,2238,484,360,1.0,Urban,Y
